[I 211221 00:04:49 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 00:04:50 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 00:05:29 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 00:05:30 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211221 00:05:43 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:05:44 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:06:23 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 00:06:26 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 00:07:14 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 00:08:05 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:08:56 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:09:41 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:09:43 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:09:44 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:11:43 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 00:11:45 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 00:11:46 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:11:48 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 00:12:28 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 00:12:54 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 00:13:06 handlers:132] Browser Connected: http://127.0.0.1:8000/contact.html
[I 211221 00:13:07 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 00:14:30 handlers:132] Browser Connected: http://127.0.0.1:8000/contact.html
[I 211221 00:14:56 handlers:132] Browser Connected: http://127.0.0.1:8000/contact.html
[I 211221 00:15:15 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 00:15:15 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 00:15:16 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 00:15:18 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:15:22 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:15:24 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 00:15:25 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:53:33 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:53:36 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 01:53:38 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 01:53:38 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 01:53:39 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 01:53:39 handlers:132] Browser Connected: http://127.0.0.1:8000/contact.html
[I 211221 01:53:40 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:57:39 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:58:22 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:58:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 01:58:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 01:58:41 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:58:45 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:58:46 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 01:58:49 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 01:59:13 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 01:59:30 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 01:59:33 handlers:132] Browser Connected: http://127.0.0.1:8000/requirement.html
[I 211221 01:59:34 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 01:59:35 handlers:132] Browser Connected: http://127.0.0.1:8000/courses.html
[I 211221 01:59:35 handlers:132] Browser Connected: http://127.0.0.1:8000/pricing.html
[I 211221 01:59:37 handlers:132] Browser Connected: http://127.0.0.1:8000/about.html
[I 211221 02:00:45 handlers:132] Browser Connected: http://127.0.0.1:8000/index.html
[I 211221 02:00:48 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:10:17 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:10:20 handlers:132] Browser Connected: http://127.0.0.1:8000/your-name/
[I 211221 02:11:03 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:11:05 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:14:22 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:14:23 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:14:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:23:27 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:24:40 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:24:42 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:28:07 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:28:08 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:29:34 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:29:35 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:15 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:15 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:16 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:16 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:16 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:16 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:34 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:30:41 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:23 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:24 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:30 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:36 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:32:37 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:33:03 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:33:05 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:33:06 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:33:14 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:36:52 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:37:19 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:37:26 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:41:21 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
[I 211221 02:41:30 handlers:132] Browser Connected: http://127.0.0.1:8000/prediction.html
